track_id,nfl_id,player,jersey,pos,team,n_obs,n_overlap_frames,match_cost_yd,pos_rmse_yd,pos_mean_yd,pos_p50_yd,pos_p90_yd,speed_rmse_yds,speed_corr,speed_mean_us_yds,speed_mean_ngs_yds,accel_rmse_yds2,accel_corr
11,2562724,Darnell Savage,26,S,GB,98,98,0.38332553328524827,0.44356453475110336,0.38332553328524827,0.29783825596147906,0.7263725178224446,1.3281009761983058,0.868110936024311,2.3853314328399127,1.9993877551020407,9.260682735408967,0.2418571726721089
12,2555161,Blake Martinez,50,ILB,GB,106,106,0.35341904073796143,0.3836069043752188,0.35341904073796143,0.38360596451479356,0.5190799251695506,1.0679676338756081,0.9387102192704462,3.0037410628442114,2.719056603773585,8.951464762323408,0.1288109562911778
13,2557996,Kevin King,20,CB,GB,97,97,0.38805511878973736,0.46475648775783845,0.38805511878973736,0.33160827083020467,0.6714745418232599,1.7424566952010159,0.797654490973895,3.3929886073467475,3.1461855670103094,12.766445920652629,0.16411594686087835
14,2555478,Demarcus Robinson,11,WR,KC,93,93,0.47187512890542943,0.5629004773690789,0.47187512890542943,0.39252953232227294,0.9176161359175954,0.7492551752411327,0.9813399028090425,5.34735510678021,5.106559139784945,5.270667255558489,0.2918861191946302
15,2552240,Cameron Erving,75,T,KC,91,91,1.0580803601192217,1.4901617993333067,1.0580803601192217,0.4963138424690293,2.267689249272098,1.376353905624301,0.885883524005774,2.3911744347572297,1.8365934065934066,8.830130063378954,0.21862126372869473
16,2532945,Mitchell Schwartz,71,T,KC,87,87,0.29188189913993773,0.342800694668949,0.29188189913993773,0.21731796498487305,0.5374231069474835,0.8344921536252885,0.9144351008303974,1.774604672408611,1.52,5.585699831505855,0.24233962476290888
17,2561227,Tyler Lancaster,95,DT,GB,83,83,0.33652216409032415,0.3812649147878198,0.33652216409032415,0.26940674921685587,0.5467886871585416,1.2056559395934034,0.7892832563604427,1.5559153673178925,1.133132530120482,9.109252714042132,0.1735095571170945
18,2555274,Dean Lowry,94,DL,GB,96,96,0.9144012433357777,1.4282394659028013,0.9144012433357777,0.42207228924999873,2.506942950859295,1.3042535564596065,0.8343137116402554,2.4180695954493507,1.9546874999999997,8.300070199573113,0.13873934668824592
19,2507282,Matt Moore,8,QB,KC,91,91,0.504724911896791,0.7347096658362575,0.504724911896791,0.34980503615936664,1.0121107733574124,1.0418388245333094,0.8695322645282887,2.011596816238884,1.8330769230769235,7.764666965332079,0.13565446136258846
20,2553452,Austin Reiter,62,C,KC,95,95,0.8925662414379462,1.017830405267951,0.8925662414379462,1.1837952193527068,1.3226814615110805,0.9189223903967004,0.7209523235858707,1.1513630101279717,0.8525263157894735,6.261946545358725,0.23368976534444247
21,2560848,Martinas Rankin,74,T,KC,102,102,0.37758413902465304,0.42301829773229915,0.37758413902465304,0.3073151755727789,0.6767035556629925,1.1938012614982463,0.7907695766487557,1.8078694474265231,1.320098039215686,8.437959883778742,0.25017383635682255
22,2543816,Laurent Duvernay-Tardif,76,G,KC,97,97,0.8425111987226453,0.9862308344511004,0.8425111987226452,1.013193054543258,1.3711107602789778,1.2093028951812042,0.736266269966074,1.6164814849342068,1.1448453608247424,7.927680411001677,0.14415836213736744
